,,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
,,company name,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 台泥,s1101,1101 台泥,9.66,6.89,0.53,7.39,6.79,7.97,4.55,14.02,14.16,13.01,10.45,13.02,13.45,10.99,8.29,8.34,8.56,8.58
 亞泥,s1102,1102 亞泥,6.13,5.27,1.49,7.44,8.97,14.19,10.04,14.04,14.4,15.7,10.35,17.33,14.45,16.12,9.89,10.86,11.3,14.37
 嘉泥,s1103,1103 嘉泥,-4.93,-18.54,-34.92,7.55,-19.65,-4.8,-27.3,1.37,6.79,0.61,-3.36,30.22,7.05,0.81,8.05,-14.73,-22.45,0.79
 環泥,s1104,1104 環泥,35.75,36.64,31.02,26.78,24.13,23.91,19.73,23.79,24.6,24.19,17.46,21.21,20.18,21.11,14.7,14.81,17.07,18.08
 幸福,s1108,1108 幸福,8.66,9.25,10.48,9.22,10.61,11.73,12.05,7.23,7.93,8.77,5.62,3.34,4.52,4.56,5.31,4.16,5.31,6.95
 信大,s1109,1109 信大,2.53,2.19,-3.79,-1.32,-3.17,-1.42,0.16,6.74,7.58,9.39,8.98,7.09,4.15,5.54,3.83,1.6,-0.91,0.51
 東泥,s1110,1110 東泥,20.83,29.88,56.46,7.78,8.91,6.35,7.57,6.85,11.32,10.43,13.75,7.25,12.93,8.26,13.28,4.24,14.47,13.51
 味全,s1201,1201 味全,-3.15,-5.54,-2.34,-10.94,-9.16,-6.35,-7.49,-1.54,1.32,2.67,3.57,2.41,3.12,3.2,3.69,2.03,2.55,2.59
 味王,s1203,1203 味王,8.91,8.19,7.94,6.93,9.24,9.57,12.28,5.74,5.92,7.11,8.53,6.06,7.19,6.93,7.31,2.43,1.85,1.73
 大成,s1210,1210 大成,3.59,3.44,3.37,0.62,1.06,0.59,0.45,1.09,1.92,1.69,1.69,2.49,0.99,0.53,1.36,1.27,1.57,1.51
 大飲,s1213,1213 大飲,3.57,3.88,3.27,2.24,4.91,3.27,6.06,1.64,3.23,1.08,2.28,2.28,4.18,1.1,5.1,1.58,3.4,0.76
 卜蜂,s1215,1215 卜蜂,6.51,6.5,6.13,4.36,3.96,3.62,4.46,4.61,4.38,4.64,4.97,2.49,1.8,0.9,1.57,1.72,1.68,0.56
 統一,s1216,1216 統一,6.22,6.42,6,5.19,6.04,6.45,6.3,4.35,4.63,5.39,6.1,4.9,5.34,5.14,5.5,4.32,4.56,4.36
 愛之味,s1217,1217 愛之味,-1.58,-4.37,-3.56,1.49,2.95,-7.15,-8.92,-11.43,-11.83,-15.94,-18.36,-1.34,-2.13,0.38,1.44,1.2,2.07,0.76
 泰山,s1218,1218 泰山,4.45,3.4,2.91,1.55,1.28,-0.57,-0.49,0.78,1.06,0.06,1.15,-1.31,1.01,0.36,-0.04,-1.97,1.62,-0.47
 福壽,s1219,1219 福壽,0.66,0.87,1.01,0.64,0.37,0.26,0.82,1.2,0.68,1.03,1.77,0.23,-0.56,-0.98,-1.48,-0.61,0.46,-0.32
 台榮,s1220,1220 台榮,5.8,6.79,6.02,3.27,3.3,0.91,-0.46,1.11,1.97,2.46,3.16,1.14,2.48,1.28,3.95,3.96,4.4,3.62
 福懋油,s1225,1225 福懋油,4.39,4.48,4.49,5.43,1.35,0.85,1.19,0.49,-0.16,0.72,1.34,0.51,0.37,0.62,0.72,0.3,0.9,0.04
